All data are in 000 metric tonnes of nutrients,"Went to https://www.ifastat.org/databases/plant-nutrition then selected all countries, the years from 1986 to 2019, then for 'Which products' the 'Grant Total N', 'Grand Total P2O5' and 'Grand Total K20' were chosen. In addition the display options for 'Total N+P2O5+K2O' was selected. For Activities 'Consumption' was chosen. Then 'Show data' was pressed, and then once the data were displayed 'Download results' was pressed. The xlsx file had the second row deleted as well as the bottom rows that had extraneous information (on IFA copyright and when the data were downloaded). This was saved as a csv file. ",,
Product,Country,Year,Consumption
Total N + P2O5 + K2O,Canada,1988,2130.9
Total N + P2O5 + K2O,Canada,1989,2165.2
Total N + P2O5 + K2O,Canada,1990,2073.8
Total N + P2O5 + K2O,Canada,1991,2173.1
Total N + P2O5 + K2O,Canada,1992,2260.9
Total N + P2O5 + K2O,Canada,1993,2379.2
Total N + P2O5 + K2O,Canada,1994,2386.9
Total N + P2O5 + K2O,Canada,1995,2567.7
Total N + P2O5 + K2O,Canada,1996,2696.1
Total N + P2O5 + K2O,Canada,1997,2726
Total N + P2O5 + K2O,Canada,1998,2649
Total N + P2O5 + K2O,Canada,1999,2689.3
Total N + P2O5 + K2O,Canada,2000,2542.9
Total N + P2O5 + K2O,Canada,2001,2546.6
Total N + P2O5 + K2O,Canada,2002,2636.2
Total N + P2O5 + K2O,Canada,2003,2685.6
Total N + P2O5 + K2O,Canada,2004,2481.4
Total N + P2O5 + K2O,Canada,2005,2326
Total N + P2O5 + K2O,Canada,2006,2787
Total N + P2O5 + K2O,Canada,2007,2922.6
Total N + P2O5 + K2O,Canada,2008,2569.8
Total N + P2O5 + K2O,Canada,2009,2802
Total N + P2O5 + K2O,Canada,2010,3025
Total N + P2O5 + K2O,Canada,2011,3393.3
Total N + P2O5 + K2O,Canada,2012,3666.1
Total N + P2O5 + K2O,Canada,2013,3698.1
Total N + P2O5 + K2O,Canada,2014,3908.9
Total N + P2O5 + K2O,Canada,2015,3936.1
Total N + P2O5 + K2O,Canada,2016,3755
Total N + P2O5 + K2O,Canada,2017,4113
Total N + P2O5 + K2O,Canada,2018,4164.4
Total N + P2O5 + K2O,Canada,2019,4793.2
Total N + P2O5 + K2O,Uzbekistan,1986,0
Total N + P2O5 + K2O,Uzbekistan,1987,0
Total N + P2O5 + K2O,Uzbekistan,1988,0
Total N + P2O5 + K2O,Uzbekistan,1989,0
Total N + P2O5 + K2O,Uzbekistan,1990,1074
Total N + P2O5 + K2O,Uzbekistan,1991,950
Total N + P2O5 + K2O,Uzbekistan,1992,730
Total N + P2O5 + K2O,Uzbekistan,1993,636
Total N + P2O5 + K2O,Uzbekistan,1994,473
Total N + P2O5 + K2O,Uzbekistan,1995,474
Total N + P2O5 + K2O,Uzbekistan,1996,445
Total N + P2O5 + K2O,Uzbekistan,1997,875.1
Total N + P2O5 + K2O,Uzbekistan,1998,824.4
Total N + P2O5 + K2O,Uzbekistan,1999,774.8
Total N + P2O5 + K2O,Uzbekistan,2000,731.2
Total N + P2O5 + K2O,Uzbekistan,2001,720.3
Total N + P2O5 + K2O,Uzbekistan,2002,719
Total N + P2O5 + K2O,Uzbekistan,2003,693
Total N + P2O5 + K2O,Uzbekistan,2004,625
Total N + P2O5 + K2O,Uzbekistan,2005,652
Total N + P2O5 + K2O,Uzbekistan,2006,689
Total N + P2O5 + K2O,Uzbekistan,2007,689.1
Total N + P2O5 + K2O,Uzbekistan,2008,780
Total N + P2O5 + K2O,Uzbekistan,2009,721
Total N + P2O5 + K2O,Uzbekistan,2010,650.2
Total N + P2O5 + K2O,Uzbekistan,2011,643.7
Total N + P2O5 + K2O,Uzbekistan,2012,686.3
Total N + P2O5 + K2O,Uzbekistan,2013,707.8
Total N + P2O5 + K2O,Uzbekistan,2014,755.2
Total N + P2O5 + K2O,Uzbekistan,2015,862.5
Total N + P2O5 + K2O,Uzbekistan,2016,918.8
Total N + P2O5 + K2O,Uzbekistan,2017,720.5
Total N + P2O5 + K2O,Uzbekistan,2018,835.8
Total N + P2O5 + K2O,Uzbekistan,2019,964.7
Total N + P2O5 + K2O,Ethiopia,1986,46.6
Total N + P2O5 + K2O,Ethiopia,1987,60.9
Total N + P2O5 + K2O,Ethiopia,1988,59
Total N + P2O5 + K2O,Ethiopia,1989,70
Total N + P2O5 + K2O,Ethiopia,1990,60.2
Total N + P2O5 + K2O,Ethiopia,1991,66.1
Total N + P2O5 + K2O,Ethiopia,1992,88.5
Total N + P2O5 + K2O,Ethiopia,1993,75.9
Total N + P2O5 + K2O,Ethiopia,1994,116.1
Total N + P2O5 + K2O,Ethiopia,1995,134.3
Total N + P2O5 + K2O,Ethiopia,1996,177.5
Total N + P2O5 + K2O,Ethiopia,1997,131.7
Total N + P2O5 + K2O,Ethiopia,1998,164
Total N + P2O5 + K2O,Ethiopia,1999,167.9
Total N + P2O5 + K2O,Ethiopia,2000,157.4
Total N + P2O5 + K2O,Ethiopia,2001,206.9
Total N + P2O5 + K2O,Ethiopia,2002,181.3
Total N + P2O5 + K2O,Ethiopia,2003,42
Total N + P2O5 + K2O,Ethiopia,2004,237
Total N + P2O5 + K2O,Ethiopia,2005,223
Total N + P2O5 + K2O,Ethiopia,2006,194
Total N + P2O5 + K2O,Ethiopia,2007,222
Total N + P2O5 + K2O,Ethiopia,2008,201.5
Total N + P2O5 + K2O,Ethiopia,2009,218.4
Total N + P2O5 + K2O,Ethiopia,2010,225
Total N + P2O5 + K2O,Ethiopia,2011,255
Total N + P2O5 + K2O,Ethiopia,2012,345
Total N + P2O5 + K2O,Ethiopia,2013,391.2
Total N + P2O5 + K2O,Ethiopia,2014,400.8
Total N + P2O5 + K2O,Ethiopia,2015,489.9
Total N + P2O5 + K2O,Ethiopia,2016,483.2
Total N + P2O5 + K2O,Ethiopia,2017,609.8
Total N + P2O5 + K2O,Ethiopia,2018,589.5
Total N + P2O5 + K2O,Ethiopia,2019,641.2
Total N + P2O5 + K2O,Syria,1986,245.9
Total N + P2O5 + K2O,Syria,1987,269
Total N + P2O5 + K2O,Syria,1988,280.3
Total N + P2O5 + K2O,Syria,1989,249.7
Total N + P2O5 + K2O,Syria,1990,303.3
Total N + P2O5 + K2O,Syria,1991,287.6
Total N + P2O5 + K2O,Syria,1992,306.5
Total N + P2O5 + K2O,Syria,1993,338.1
Total N + P2O5 + K2O,Syria,1994,351.3
Total N + P2O5 + K2O,Syria,1995,341.5
Total N + P2O5 + K2O,Syria,1996,357.2
Total N + P2O5 + K2O,Syria,1997,368.4
Total N + P2O5 + K2O,Syria,1998,330.9
Total N + P2O5 + K2O,Syria,1999,370.7
Total N + P2O5 + K2O,Syria,2000,365.6
Total N + P2O5 + K2O,Syria,2001,271
Total N + P2O5 + K2O,Syria,2002,318.8
Total N + P2O5 + K2O,Syria,2003,318.7
Total N + P2O5 + K2O,Syria,2004,406
Total N + P2O5 + K2O,Syria,2005,417.1
Total N + P2O5 + K2O,Syria,2006,318.6
Total N + P2O5 + K2O,Syria,2007,321.8
Total N + P2O5 + K2O,Syria,2008,265.8
Total N + P2O5 + K2O,Syria,2009,288
Total N + P2O5 + K2O,Syria,2010,283.9
Total N + P2O5 + K2O,Syria,2011,279.2
Total N + P2O5 + K2O,Syria,2012,197.1
Total N + P2O5 + K2O,Syria,2013,45.6
Total N + P2O5 + K2O,Syria,2014,30.9
Total N + P2O5 + K2O,Syria,2015,9.4
Total N + P2O5 + K2O,Syria,2016,5.4
Total N + P2O5 + K2O,Syria,2017,52.5
Total N + P2O5 + K2O,Syria,2018,48.3
Total N + P2O5 + K2O,Syria,2019,54.9
Total N + P2O5 + K2O,Japan,1986,2052.6
Total N + P2O5 + K2O,Japan,1987,2036.6
Total N + P2O5 + K2O,Japan,1988,1943
Total N + P2O5 + K2O,Japan,1989,1938
Total N + P2O5 + K2O,Japan,1990,1838
Total N + P2O5 + K2O,Japan,1991,1752
Total N + P2O5 + K2O,Japan,1992,1784
Total N + P2O5 + K2O,Japan,1993,1817.1
Total N + P2O5 + K2O,Japan,1994,1763.7
Total N + P2O5 + K2O,Japan,1995,1641.1
Total N + P2O5 + K2O,Japan,1996,1563
Total N + P2O5 + K2O,Japan,1997,1509.9
Total N + P2O5 + K2O,Japan,1998,1418.6
Total N + P2O5 + K2O,Japan,1999,1436.9
Total N + P2O5 + K2O,Japan,2000,1452.3
Total N + P2O5 + K2O,Japan,2001,1354
Total N + P2O5 + K2O,Japan,2002,1301
Total N + P2O5 + K2O,Japan,2003,1310.7
Total N + P2O5 + K2O,Japan,2004,1292.2
Total N + P2O5 + K2O,Japan,2005,1294.2
Total N + P2O5 + K2O,Japan,2006,1294.4
Total N + P2O5 + K2O,Japan,2007,1408.3
Total N + P2O5 + K2O,Japan,2008,1097.4
Total N + P2O5 + K2O,Japan,2009,937.4
Total N + P2O5 + K2O,Japan,2010,1101
Total N + P2O5 + K2O,Japan,2011,1111
Total N + P2O5 + K2O,Japan,2012,1103.6
Total N + P2O5 + K2O,Japan,2013,1106.1
Total N + P2O5 + K2O,Japan,2014,1044.6
Total N + P2O5 + K2O,Japan,2015,934.6
Total N + P2O5 + K2O,Japan,2016,987.5
Total N + P2O5 + K2O,Japan,2017,1012.1
Total N + P2O5 + K2O,Japan,2018,977.6
Total N + P2O5 + K2O,Japan,2019,934.1
Total N + P2O5 + K2O,United Kingdom,1986,2650
Total N + P2O5 + K2O,United Kingdom,1987,2484
Total N + P2O5 + K2O,United Kingdom,1988,2451
Total N + P2O5 + K2O,United Kingdom,1989,2511
Total N + P2O5 + K2O,United Kingdom,1990,2388
Total N + P2O5 + K2O,United Kingdom,1991,2171
Total N + P2O5 + K2O,United Kingdom,1992,2003
Total N + P2O5 + K2O,United Kingdom,1993,2075
Total N + P2O5 + K2O,United Kingdom,1994,2219
Total N + P2O5 + K2O,United Kingdom,1995,2191
Total N + P2O5 + K2O,United Kingdom,1996,2376
Total N + P2O5 + K2O,United Kingdom,1997,2270
Total N + P2O5 + K2O,United Kingdom,1998,2081
Total N + P2O5 + K2O,United Kingdom,1999,1994.4
Total N + P2O5 + K2O,United Kingdom,2000,1809.1
Total N + P2O5 + K2O,United Kingdom,2001,1876.4
Total N + P2O5 + K2O,United Kingdom,2002,1787.6
Total N + P2O5 + K2O,United Kingdom,2003,1777.9
Total N + P2O5 + K2O,United Kingdom,2004,1671.8
Total N + P2O5 + K2O,United Kingdom,2005,1562.8
Total N + P2O5 + K2O,United Kingdom,2006,1549.9
Total N + P2O5 + K2O,United Kingdom,2007,1541.6
Total N + P2O5 + K2O,United Kingdom,2008,1284.5
Total N + P2O5 + K2O,United Kingdom,2009,1450.6
Total N + P2O5 + K2O,United Kingdom,2010,1496.6
Total N + P2O5 + K2O,United Kingdom,2011,1446.6
Total N + P2O5 + K2O,United Kingdom,2012,1463.5
Total N + P2O5 + K2O,United Kingdom,2013,1544.3
Total N + P2O5 + K2O,United Kingdom,2014,1514.9
Total N + P2O5 + K2O,United Kingdom,2015,1493.2
Total N + P2O5 + K2O,United Kingdom,2016,1512
Total N + P2O5 + K2O,United Kingdom,2017,1483.4
Total N + P2O5 + K2O,United Kingdom,2018,1491
Total N + P2O5 + K2O,United Kingdom,2019,1393
Total N + P2O5 + K2O,Australia,1986,1194.5
Total N + P2O5 + K2O,Australia,1987,1382.3
Total N + P2O5 + K2O,Australia,1988,1395.9
Total N + P2O5 + K2O,Australia,1989,1393.4
Total N + P2O5 + K2O,Australia,1990,1163.7
Total N + P2O5 + K2O,Australia,1991,1284.6
Total N + P2O5 + K2O,Australia,1992,1417.9
Total N + P2O5 + K2O,Australia,1993,1511.5
Total N + P2O5 + K2O,Australia,1994,1725.5
Total N + P2O5 + K2O,Australia,1995,1867.4
Total N + P2O5 + K2O,Australia,1996,2015.9
Total N + P2O5 + K2O,Australia,1997,2184.1
Total N + P2O5 + K2O,Australia,1998,2250
Total N + P2O5 + K2O,Australia,1999,2353
Total N + P2O5 + K2O,Australia,2000,2275
Total N + P2O5 + K2O,Australia,2001,2463
Total N + P2O5 + K2O,Australia,2002,2273.3
Total N + P2O5 + K2O,Australia,2003,2191.2
Total N + P2O5 + K2O,Australia,2004,2421.7
Total N + P2O5 + K2O,Australia,2005,2215.1
Total N + P2O5 + K2O,Australia,2006,2058.3
Total N + P2O5 + K2O,Australia,2007,2058.4
Total N + P2O5 + K2O,Australia,2008,1867.8
Total N + P2O5 + K2O,Australia,2009,1648
Total N + P2O5 + K2O,Australia,2010,1966.9
Total N + P2O5 + K2O,Australia,2011,2151.7
Total N + P2O5 + K2O,Australia,2012,2116.1
Total N + P2O5 + K2O,Australia,2013,2345.9
Total N + P2O5 + K2O,Australia,2014,2565.7
Total N + P2O5 + K2O,Australia,2015,2547.7
Total N + P2O5 + K2O,Australia,2016,2647.1
Total N + P2O5 + K2O,Australia,2017,2810.5
Total N + P2O5 + K2O,Australia,2018,2433
Total N + P2O5 + K2O,Australia,2019,2527.4
Total N + P2O5 + K2O,Moldova Republic of,1986,0
Total N + P2O5 + K2O,Moldova Republic of,1987,0
Total N + P2O5 + K2O,Moldova Republic of,1988,0
Total N + P2O5 + K2O,Moldova Republic of,1989,0
Total N + P2O5 + K2O,Moldova Republic of,1990,236
Total N + P2O5 + K2O,Moldova Republic of,1991,190
Total N + P2O5 + K2O,Moldova Republic of,1992,134.8
Total N + P2O5 + K2O,Moldova Republic of,1993,115
Total N + P2O5 + K2O,Moldova Republic of,1994,115
Total N + P2O5 + K2O,Moldova Republic of,1995,115
Total N + P2O5 + K2O,Moldova Republic of,1996,116
Total N + P2O5 + K2O,Moldova Republic of,1997,10.2
Total N + P2O5 + K2O,Moldova Republic of,1998,7
Total N + P2O5 + K2O,Moldova Republic of,1999,3.3
Total N + P2O5 + K2O,Moldova Republic of,2000,5.1
Total N + P2O5 + K2O,Moldova Republic of,2001,5.1
Total N + P2O5 + K2O,Moldova Republic of,2002,8.9
Total N + P2O5 + K2O,Moldova Republic of,2003,8.9
Total N + P2O5 + K2O,Moldova Republic of,2004,8.9
Total N + P2O5 + K2O,Moldova Republic of,2005,8.9
Total N + P2O5 + K2O,Moldova Republic of,2006,8
Total N + P2O5 + K2O,Moldova Republic of,2007,8
Total N + P2O5 + K2O,Moldova Republic of,2008,8
Total N + P2O5 + K2O,Moldova Republic of,2009,9
Total N + P2O5 + K2O,Moldova Republic of,2010,5.4
Total N + P2O5 + K2O,Moldova Republic of,2011,8.5
Total N + P2O5 + K2O,Moldova Republic of,2012,10.9
Total N + P2O5 + K2O,Moldova Republic of,2013,52.7
Total N + P2O5 + K2O,Moldova Republic of,2014,46.1
Total N + P2O5 + K2O,Moldova Republic of,2015,53.6
Total N + P2O5 + K2O,Moldova Republic of,2016,82.9
Total N + P2O5 + K2O,Moldova Republic of,2017,102.9
Total N + P2O5 + K2O,Moldova Republic of,2018,126.7
Total N + P2O5 + K2O,Moldova Republic of,2019,109.8
Total N + P2O5 + K2O,Egypt,1986,1009.2
Total N + P2O5 + K2O,Egypt,1987,1009.1
Total N + P2O5 + K2O,Egypt,1988,1001.3
Total N + P2O5 + K2O,Egypt,1989,983.1
Total N + P2O5 + K2O,Egypt,1990,958.6
Total N + P2O5 + K2O,Egypt,1991,963.4
Total N + P2O5 + K2O,Egypt,1992,905.7
Total N + P2O5 + K2O,Egypt,1993,963.6
Total N + P2O5 + K2O,Egypt,1994,843.2
Total N + P2O5 + K2O,Egypt,1995,1126.4
Total N + P2O5 + K2O,Egypt,1996,1157.5
Total N + P2O5 + K2O,Egypt,1997,1078.7
Total N + P2O5 + K2O,Egypt,1998,1171.1
Total N + P2O5 + K2O,Egypt,1999,1179.5
Total N + P2O5 + K2O,Egypt,2000,1287.9
Total N + P2O5 + K2O,Egypt,2001,1373.5
Total N + P2O5 + K2O,Egypt,2002,1334
Total N + P2O5 + K2O,Egypt,2003,1388.1
Total N + P2O5 + K2O,Egypt,2004,1604.9
Total N + P2O5 + K2O,Egypt,2005,1538
Total N + P2O5 + K2O,Egypt,2006,1528
Total N + P2O5 + K2O,Egypt,2007,1341.4
Total N + P2O5 + K2O,Egypt,2008,1374.5
Total N + P2O5 + K2O,Egypt,2009,1393.2
Total N + P2O5 + K2O,Egypt,2010,1360
Total N + P2O5 + K2O,Egypt,2011,1414
Total N + P2O5 + K2O,Egypt,2012,1309.8
Total N + P2O5 + K2O,Egypt,2013,1451.1
Total N + P2O5 + K2O,Egypt,2014,1434
Total N + P2O5 + K2O,Egypt,2015,1616
Total N + P2O5 + K2O,Egypt,2016,1570.4
Total N + P2O5 + K2O,Egypt,2017,1639.7
Total N + P2O5 + K2O,Egypt,2018,1617.5
Total N + P2O5 + K2O,Egypt,2019,1692
Total N + P2O5 + K2O,Others Africa,1986,208.7
Total N + P2O5 + K2O,Others Africa,1987,194.7
Total N + P2O5 + K2O,Others Africa,1988,188.2
Total N + P2O5 + K2O,Others Africa,1989,221.4
Total N + P2O5 + K2O,Others Africa,1990,187
Total N + P2O5 + K2O,Others Africa,1991,215.8
Total N + P2O5 + K2O,Others Africa,1992,246.6
Total N + P2O5 + K2O,Others Africa,1993,254.3
Total N + P2O5 + K2O,Others Africa,1994,227
Total N + P2O5 + K2O,Others Africa,1995,254
Total N + P2O5 + K2O,Others Africa,1996,281
Total N + P2O5 + K2O,Others Africa,1997,295
Total N + P2O5 + K2O,Others Africa,1998,305
Total N + P2O5 + K2O,Others Africa,1999,329
Total N + P2O5 + K2O,Others Africa,2000,287
Total N + P2O5 + K2O,Others Africa,2001,284
Total N + P2O5 + K2O,Others Africa,2002,295
Total N + P2O5 + K2O,Others Africa,2003,340.4
Total N + P2O5 + K2O,Others Africa,2004,346.5
Total N + P2O5 + K2O,Others Africa,2005,405
Total N + P2O5 + K2O,Others Africa,2006,447.2
Total N + P2O5 + K2O,Others Africa,2007,391.4
Total N + P2O5 + K2O,Others Africa,2008,419.4
Total N + P2O5 + K2O,Others Africa,2009,481
Total N + P2O5 + K2O,Others Africa,2010,574.5
Total N + P2O5 + K2O,Others Africa,2011,506.6
Total N + P2O5 + K2O,Others Africa,2012,488.6
Total N + P2O5 + K2O,Others Africa,2013,478.2
Total N + P2O5 + K2O,Others Africa,2014,530.3
Total N + P2O5 + K2O,Others Africa,2015,493.3
Total N + P2O5 + K2O,Others Africa,2016,621.3
Total N + P2O5 + K2O,Others Africa,2017,824.3
Total N + P2O5 + K2O,Others Africa,2018,903
Total N + P2O5 + K2O,Others Africa,2019,913.1
Total N + P2O5 + K2O,Others East Asia,1986,19.6
Total N + P2O5 + K2O,Others East Asia,1987,25.7
Total N + P2O5 + K2O,Others East Asia,1988,20.3
Total N + P2O5 + K2O,Others East Asia,1989,17.5
Total N + P2O5 + K2O,Others East Asia,1990,18.6
Total N + P2O5 + K2O,Others East Asia,1991,24.2
Total N + P2O5 + K2O,Others East Asia,1992,23.4
Total N + P2O5 + K2O,Others East Asia,1993,17.8
Total N + P2O5 + K2O,Others East Asia,1994,13.7
Total N + P2O5 + K2O,Others East Asia,1995,19
Total N + P2O5 + K2O,Others East Asia,1996,17.3
Total N + P2O5 + K2O,Others East Asia,1997,26
Total N + P2O5 + K2O,Others East Asia,1998,10
Total N + P2O5 + K2O,Others East Asia,1999,12.3
Total N + P2O5 + K2O,Others East Asia,2000,12.1
Total N + P2O5 + K2O,Others East Asia,2001,13
Total N + P2O5 + K2O,Others East Asia,2002,12.2
Total N + P2O5 + K2O,Others East Asia,2003,12.2
Total N + P2O5 + K2O,Others East Asia,2004,18.1
Total N + P2O5 + K2O,Others East Asia,2005,37.8
Total N + P2O5 + K2O,Others East Asia,2006,42.3
Total N + P2O5 + K2O,Others East Asia,2007,51.7
Total N + P2O5 + K2O,Others East Asia,2008,51.4
Total N + P2O5 + K2O,Others East Asia,2009,53.2
Total N + P2O5 + K2O,Others East Asia,2010,51.2
Total N + P2O5 + K2O,Others East Asia,2011,129.3
Total N + P2O5 + K2O,Others East Asia,2012,130.8
Total N + P2O5 + K2O,Others East Asia,2013,142.9
Total N + P2O5 + K2O,Others East Asia,2014,201.6
Total N + P2O5 + K2O,Others East Asia,2015,217.4
Total N + P2O5 + K2O,Others East Asia,2016,124
Total N + P2O5 + K2O,Others East Asia,2017,217.4
Total N + P2O5 + K2O,Others East Asia,2018,245.2
Total N + P2O5 + K2O,Others East Asia,2019,359.3
Total N + P2O5 + K2O,Others Oceania,1986,36
Total N + P2O5 + K2O,Others Oceania,1987,38.3
Total N + P2O5 + K2O,Others Oceania,1988,41.3
Total N + P2O5 + K2O,Others Oceania,1989,40.7
Total N + P2O5 + K2O,Others Oceania,1990,37.9
Total N + P2O5 + K2O,Others Oceania,1991,26.7
Total N + P2O5 + K2O,Others Oceania,1992,28
Total N + P2O5 + K2O,Others Oceania,1993,29
Total N + P2O5 + K2O,Others Oceania,1994,33.6
Total N + P2O5 + K2O,Others Oceania,1995,35
Total N + P2O5 + K2O,Others Oceania,1996,36
Total N + P2O5 + K2O,Others Oceania,1997,36
Total N + P2O5 + K2O,Others Oceania,1998,32
Total N + P2O5 + K2O,Others Oceania,1999,29.5
Total N + P2O5 + K2O,Others Oceania,2000,26
Total N + P2O5 + K2O,Others Oceania,2001,34
Total N + P2O5 + K2O,Others Oceania,2002,26
Total N + P2O5 + K2O,Others Oceania,2003,20.1
Total N + P2O5 + K2O,Others Oceania,2004,31.1
Total N + P2O5 + K2O,Others Oceania,2005,37.6
Total N + P2O5 + K2O,Others Oceania,2006,40.1
Total N + P2O5 + K2O,Others Oceania,2007,36.1
Total N + P2O5 + K2O,Others Oceania,2008,44.7
Total N + P2O5 + K2O,Others Oceania,2009,40.6
Total N + P2O5 + K2O,Others Oceania,2010,40.1
Total N + P2O5 + K2O,Others Oceania,2011,40.3
Total N + P2O5 + K2O,Others Oceania,2012,37.6
Total N + P2O5 + K2O,Others Oceania,2013,14.8
Total N + P2O5 + K2O,Others Oceania,2014,13.5
Total N + P2O5 + K2O,Others Oceania,2015,20
Total N + P2O5 + K2O,Others Oceania,2016,17.4
Total N + P2O5 + K2O,Others Oceania,2017,17.3
Total N + P2O5 + K2O,Others Oceania,2018,24.8
Total N + P2O5 + K2O,Others Oceania,2019,16
Total N + P2O5 + K2O,Others West Asia,1986,23.6
Total N + P2O5 + K2O,Others West Asia,1987,16.8
Total N + P2O5 + K2O,Others West Asia,1988,31.6
Total N + P2O5 + K2O,Others West Asia,1989,34.6
Total N + P2O5 + K2O,Others West Asia,1990,47.4
Total N + P2O5 + K2O,Others West Asia,1991,46
Total N + P2O5 + K2O,Others West Asia,1992,40.8
Total N + P2O5 + K2O,Others West Asia,1993,45.4
Total N + P2O5 + K2O,Others West Asia,1994,54.7
Total N + P2O5 + K2O,Others West Asia,1995,61.2
Total N + P2O5 + K2O,Others West Asia,1996,47.9
Total N + P2O5 + K2O,Others West Asia,1997,57.6
Total N + P2O5 + K2O,Others West Asia,1998,60.9
Total N + P2O5 + K2O,Others West Asia,1999,58
Total N + P2O5 + K2O,Others West Asia,2000,59
Total N + P2O5 + K2O,Others West Asia,2001,60
Total N + P2O5 + K2O,Others West Asia,2002,49
Total N + P2O5 + K2O,Others West Asia,2003,49
Total N + P2O5 + K2O,Others West Asia,2004,54
Total N + P2O5 + K2O,Others West Asia,2005,54.2
Total N + P2O5 + K2O,Others West Asia,2006,63.7
Total N + P2O5 + K2O,Others West Asia,2007,55.2
Total N + P2O5 + K2O,Others West Asia,2008,76.7
Total N + P2O5 + K2O,Others West Asia,2009,117
Total N + P2O5 + K2O,Others West Asia,2010,124.7
Total N + P2O5 + K2O,Others West Asia,2011,106
Total N + P2O5 + K2O,Others West Asia,2012,116.5
Total N + P2O5 + K2O,Others West Asia,2013,123.7
Total N + P2O5 + K2O,Others West Asia,2014,111.3
Total N + P2O5 + K2O,Others West Asia,2015,163.4
Total N + P2O5 + K2O,Others West Asia,2016,295.1
Total N + P2O5 + K2O,Others West Asia,2017,369.5
Total N + P2O5 + K2O,Others West Asia,2018,332.3
Total N + P2O5 + K2O,Others West Asia,2019,387.6
Total N + P2O5 + K2O,Others Latin America,1986,184.7
Total N + P2O5 + K2O,Others Latin America,1987,192.4
Total N + P2O5 + K2O,Others Latin America,1988,192.3
Total N + P2O5 + K2O,Others Latin America,1989,198.7
Total N + P2O5 + K2O,Others Latin America,1990,213.9
Total N + P2O5 + K2O,Others Latin America,1991,186.3
Total N + P2O5 + K2O,Others Latin America,1992,197.7
Total N + P2O5 + K2O,Others Latin America,1993,217.1
Total N + P2O5 + K2O,Others Latin America,1994,218.7
Total N + P2O5 + K2O,Others Latin America,1995,213
Total N + P2O5 + K2O,Others Latin America,1996,277
Total N + P2O5 + K2O,Others Latin America,1997,360
Total N + P2O5 + K2O,Others Latin America,1998,371
Total N + P2O5 + K2O,Others Latin America,1999,377
Total N + P2O5 + K2O,Others Latin America,2000,385
Total N + P2O5 + K2O,Others Latin America,2001,357.8
Total N + P2O5 + K2O,Others Latin America,2002,817.3
Total N + P2O5 + K2O,Others Latin America,2003,863.2
Total N + P2O5 + K2O,Others Latin America,2004,676.6
Total N + P2O5 + K2O,Others Latin America,2005,561.1
Total N + P2O5 + K2O,Others Latin America,2006,398.5
Total N + P2O5 + K2O,Others Latin America,2007,444.5
Total N + P2O5 + K2O,Others Latin America,2008,287.1
Total N + P2O5 + K2O,Others Latin America,2009,173
Total N + P2O5 + K2O,Others Latin America,2010,194.2
Total N + P2O5 + K2O,Others Latin America,2011,311.1
Total N + P2O5 + K2O,Others Latin America,2012,380.8
Total N + P2O5 + K2O,Others Latin America,2013,359.8
Total N + P2O5 + K2O,Others Latin America,2014,298
Total N + P2O5 + K2O,Others Latin America,2015,291.2
Total N + P2O5 + K2O,Others Latin America,2016,315.3
Total N + P2O5 + K2O,Others Latin America,2017,329.5
Total N + P2O5 + K2O,Others Latin America,2018,321.6
Total N + P2O5 + K2O,Others Latin America,2019,343.5
Total N + P2O5 + K2O,Former Soviet Union,1986,26506
Total N + P2O5 + K2O,Former Soviet Union,1987,27403
Total N + P2O5 + K2O,Former Soviet Union,1988,27187
Total N + P2O5 + K2O,Former Soviet Union,1989,24474
Total N + P2O5 + K2O,Former Soviet Union,1990,0
Total N + P2O5 + K2O,Former Soviet Union,1991,0
Total N + P2O5 + K2O,Former Soviet Union,1992,0
Total N + P2O5 + K2O,Former Soviet Union,1993,0
Total N + P2O5 + K2O,Former Soviet Union,1994,0
Total N + P2O5 + K2O,Former Soviet Union,1995,0
Total N + P2O5 + K2O,Former Soviet Union,1996,0
Total N + P2O5 + K2O,Former Soviet Union,1997,0
Total N + P2O5 + K2O,Former Soviet Union,1998,0
Total N + P2O5 + K2O,Former Soviet Union,1999,0
Total N + P2O5 + K2O,Former Soviet Union,2000,0
Total N + P2O5 + K2O,Former Soviet Union,2001,0
Total N + P2O5 + K2O,Former Soviet Union,2002,0
Total N + P2O5 + K2O,Former Soviet Union,2003,0
Total N + P2O5 + K2O,Former Soviet Union,2004,0
Total N + P2O5 + K2O,Former Soviet Union,2005,0
Total N + P2O5 + K2O,Former Soviet Union,2006,0
Total N + P2O5 + K2O,Former Soviet Union,2007,0
Total N + P2O5 + K2O,Former Soviet Union,2008,0
Total N + P2O5 + K2O,Former Soviet Union,2009,0
Total N + P2O5 + K2O,Former Soviet Union,2010,0
Total N + P2O5 + K2O,Former Soviet Union,2011,0
Total N + P2O5 + K2O,Former Soviet Union,2012,0
Total N + P2O5 + K2O,Former Soviet Union,2013,0
Total N + P2O5 + K2O,Former Soviet Union,2014,0
Total N + P2O5 + K2O,Former Soviet Union,2015,0
Total N + P2O5 + K2O,Former Soviet Union,2016,0
Total N + P2O5 + K2O,Former Soviet Union,2017,0
Total N + P2O5 + K2O,Former Soviet Union,2018,0
Total N + P2O5 + K2O,Former Soviet Union,2019,0
Total N + P2O5 + K2O,Paraguay,1986,0
